Elspot volumes in {0},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elspot volumes in MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours,Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
01-01-2018,00 - 01,"39676,5","5021,7","1718,1","4374,9","5947,6","3075,5","1628,7","1948,0","1736,2","2170,5","2282,8","1377,7","1746,3","1742,8","2997,8","8569,7","10552,7","2382,8","1063,7","6565,6","5006,8","0,0","0,0","1093,8","3720,8","1196,7","1283,0","691,1","867,1","637,5","494,2","1000,4","802,9"
01-01-2018,01 - 02,"39492,2","4927,1","1719,3","4786,4","6211,3","3066,9","1636,0","1911,7","1746,5","2151,3","2300,9","1367,4","1463,0","1717,9","2789,4","8366,2","10489,5","2300,7","1065,8","6301,0","5043,4","0,0","0,0","1214,7","3759,5","1151,2","1292,2","660,6","877,4","602,1","352,5","1023,4","801,9"
01-01-2018,02 - 03,"38381,8","4852,4","1715,0","4520,7","5318,2","3038,9","1612,8","1904,6","1719,2","2131,3","2242,1","1356,7","1429,4","1693,9","2709,3","8256,6","10448,0","2256,2","1243,2","6131,9","4985,3","0,0","0,0","1210,9","3665,8","1089,8","1343,0","644,8","884,9","582,0","354,5","1023,5","1023,5"
01-01-2018,03 - 04,"37492,3","4785,3","1702,3","4161,5","4861,1","3002,2","1530,7","1894,4","1559,9","2108,3","2013,3","1349,3","1365,7","1674,0","2650,8","8121,9","10438,2","2214,4","1321,6","6054,3","4906,6","0,0","0,0","1157,4","3663,9","1034,3","1393,6","634,1","887,2","565,2","355,4","1007,3","1122,9"
01-01-2018,04 - 05,"37443,1","4777,8","1702,4","4254,0","4568,5","2980,7","1535,6","1883,2","1565,2","2105,4","2016,8","1353,4","1363,0","1678,1","2649,6","8093,3","10431,8","2188,7","1459,2","6099,3","4877,5","0,0","0,0","1115,8","3653,4","978,4","1427,4","638,2","890,7","568,1","371,0","1010,9","1213,2"
01-01-2018,05 - 06,"37742,3","4826,5","1721,3","4201,2","4557,6","2961,7","1525,8","1883,9","1569,8","2114,2","2018,0","1354,9","1568,3","1695,6","2687,9","8201,4","10347,6","2188,8","1465,9","6290,4","4895,0","0,0","0,0","1143,2","3519,3","933,9","1470,9","652,0","880,0","573,3","612,0","1049,1","1230,7"
01-01-2018,06 - 07,"39522,7","5530,7","2367,2","4360,0","4674,0","3020,0","1560,5","1905,9","1574,7","2134,5","2198,7","1378,4","1852,7","2216,6","3012,2","8406,9","10437,6","2224,4","1228,9","6364,8","5390,7","0,0","0,0","1208,9","3598,0","933,8","1531,7","676,5","840,1","604,6","699,0","1072,5","1072,5"
01-01-2018,07 - 08,"41183,8","5770,7","2503,3","5020,7","5137,2","3066,8","1605,9","1921,2","1632,1","2163,0","2473,9","1396,9","1874,1","2212,1","3527,1","8718,6","10466,0","2302,0","1424,1","6619,4","5527,4","0,0","0,0","1183,3","3379,6","953,8","1608,7","701,5","870,6","627,6","783,6","1103,3","947,3"
01-01-2018,08 - 09,"41807,7","5906,7","2519,8","4761,0","5124,0","3087,6","1638,4","1967,5","1629,8","2191,3","2403,1","1419,3","1981,3","2454,4","3896,3","8958,9","10456,4","2308,4","1434,0","6708,9","5562,1","0,0","0,0","1183,7","3369,5","984,6","1654,2","704,2","870,9","653,8","871,8","1150,1","1028,8"
01-01-2018,09 - 10,"42568,9","6033,5","2522,6","4836,7","5349,5","3127,3","1677,3","2022,8","1644,3","2209,2","2403,8","1430,5","2080,2","2491,2","4134,6","9145,6","10499,7","2339,3","1486,5","6837,0","5541,4","0,0","0,0","1173,1","3393,1","1048,2","1674,0","740,6","863,7","683,4","929,6","1220,6","1138,7"
